=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 10:24:36 =~=~=~=~=~=~=~=~=~=~=~=
Initializing MAX30100 for raw data..SUCCESS
Initializing PulseOximeter..SUCCESS

==========================================
Press 's' to start 2-minute data collection
Minute 1: RAW IR/Red data (0.1s intervals)
Minute 2: Processed BPM/SpO2 data (0.1s intervals)
==========================================

==========================================
=== 2-MINUTE DATA COLLECTION STARTED ===
PHASE 1 (0-600 tenths of seconds): RAW IR/Red data
Format: RAW,Time_0.1s,IR_raw,Red_raw,GSR_V,GSR_raw
RAW,45.6,8209,7083,2.146,439
RAW,45.7,8195,7079,2.155,441
RAW,45.9,8187,7074,2.151,440
RAW,46.2,8185,7077,2.155,441
RAW,46.4,8187,7074,2.146,439
RAW,46.6,8182,7074,2.151,440
RAW,46.8,8189,7077,2.151,440
RAW,47.0,8185,7074,2.155,441
RAW,47.2,8183,7078,2.151,440
RAW,47.4,8192,7077,2.155,441
RAW,47.5,8187,7075,2.155,441
RAW,47.7,8198,7076,2.155,441
RAW,47.9,8196,7076,2.155,441
RAW,48.1,8194,7076,2.155,441
RAW,48.3,8196,7079,2.155,441
RAW,48.5,8202,7079,2.155,441
RAW,48.7,8206,7082,2.155,441
RAW,48.8,8212,7090,2.160,442
RAW,49.0,8216,7082,2.160,442
RAW,49.2,8209,7080,2.160,442
RAW,49.4,8215,7087,2.160,442
RAW,49.5,8214,7085,2.160,442
RAW,49.7,8217,7085,2.160,442
RAW,49.9,8219,7088,2.160,442
RAW,50.2,8218,7087,2.165,443
RAW,50.4,8217,7084,2.160,442
RAW,50.6,8215,7080,2.160,442
RAW,50.7,8218,7085,2.165,443
RAW,50.9,8221,7083,2.160,442
RAW,51.2,8222,7083,2.165,443
RAW,51.4,8227,7083,2.165,443
RAW,51.6,8230,7081,2.165,443
RAW,51.7,8229,7090,2.165,443
RAW,51.9,8225,7083,2.165,443
RAW,52.2,8222,7084,2.160,442
RAW,52.4,8224,7083,2.165,443
RAW,52.7,8205,7075,2.160,442
